Transaction_ID,Items
1,"Sugar,Tea,Bread,Cheese"
2,"Butter,Cheese,Biscuits,Coffee,Milk"
3,"Bread,Milk,Sugar"
4,"Sugar,Biscuits,Bread"
5,"Sugar,Milk,Juice,Biscuits"
6,"Eggs,Juice,Butter"
7,"Eggs,Biscuits,Sugar,Bread,Butter"
8,"Butter,Bread,Coffee,Tea,Sugar"
9,"Butter,Bread"
10,"Butter,Coffee"
11,"Coffee,Cheese,Juice"
12,"Tea,Juice,Cheese,Eggs,Coffee"
13,"Tea,Milk"
14,"Eggs,Sugar,Coffee,Tea,Butter"
15,"Tea,Biscuits,Juice,Milk"
16,"Sugar,Milk,Juice"
17,"Cheese,Juice,Coffee,Biscuits,Butter"
18,"Juice,Cheese,Eggs,Tea,Butter"
19,"Coffee,Bread"
20,"Butter,Bread,Juice"
21,"Tea,Milk,Cheese,Juice,Biscuits"
22,"Eggs,Tea,Coffee,Butter,Biscuits"
23,"Juice,Bread,Milk,Eggs,Sugar"
24,"Sugar,Bread"
25,"Milk,Cheese,Sugar,Butter"
26,"Cheese,Butter,Milk"
27,"Eggs,Cheese,Biscuits"
28,"Bread,Biscuits,Milk,Eggs"
29,"Butter,Biscuits,Milk,Juice"
30,"Milk,Tea,Bread,Butter"
31,"Butter,Biscuits,Milk,Eggs,Juice"
32,"Sugar,Tea,Butter,Juice"
33,"Juice,Cheese,Biscuits"
34,"Juice,Milk,Biscuits,Bread,Coffee"
35,"Milk,Eggs,Butter,Cheese"
36,"Biscuits,Eggs,Coffee,Milk"
37,"Biscuits,Eggs"
38,"Butter,Eggs,Coffee,Sugar,Milk"
39,"Juice,Cheese,Coffee,Biscuits,Sugar"
40,"Coffee,Eggs,Milk"
41,"Cheese,Butter"
42,"Juice,Bread,Tea"
43,"Bread,Eggs"
44,"Tea,Biscuits,Bread"
45,"Sugar,Tea,Biscuits,Bread"
46,"Cheese,Milk,Coffee,Biscuits"
47,"Bread,Eggs"
48,"Cheese,Sugar,Juice,Coffee,Biscuits"
49,"Juice,Tea,Coffee,Cheese"
50,"Eggs,Tea,Bread,Coffee"
51,"Tea,Biscuits,Butter,Eggs"
52,"Bread,Milk,Cheese,Coffee,Tea"
53,"Bread,Cheese,Juice"
54,"Eggs,Sugar,Biscuits,Milk"
55,"Coffee,Juice,Biscuits,Sugar,Bread"
56,"Juice,Cheese,Milk,Biscuits"
57,"Biscuits,Bread,Sugar,Cheese,Tea"
58,"Milk,Bread,Eggs,Butter"
59,"Sugar,Milk"
60,"Eggs,Coffee,Sugar,Butter,Biscuits"
61,"Bread,Milk,Juice,Cheese,Coffee"
62,"Eggs,Butter"
63,"Coffee,Cheese,Tea,Eggs,Milk"
64,"Coffee,Sugar,Biscuits,Tea"
65,"Coffee,Cheese,Juice"
66,"Butter,Juice,Cheese,Biscuits"
67,"Butter,Coffee"
68,"Coffee,Milk,Tea"
69,"Biscuits,Butter,Juice"
70,"Tea,Eggs,Sugar,Coffee"
71,"Sugar,Coffee,Cheese"
72,"Tea,Juice"
73,"Coffee,Tea"
74,"Milk,Sugar"
75,"Bread,Eggs,Coffee,Biscuits,Cheese"
76,"Bread,Sugar,Butter,Tea,Juice"
77,"Tea,Milk,Juice"
78,"Bread,Butter,Tea,Coffee"
79,"Juice,Butter,Sugar,Bread"
80,"Juice,Coffee,Cheese,Eggs"
81,"Butter,Juice,Tea,Bread,Sugar"
82,"Butter,Cheese,Bread,Eggs"
83,"Cheese,Juice,Coffee,Eggs,Sugar"
84,"Coffee,Cheese,Sugar,Bread"
85,"Biscuits,Cheese,Eggs,Tea"
86,"Cheese,Biscuits"
87,"Juice,Milk,Cheese,Biscuits"
88,"Coffee,Eggs"
89,"Sugar,Milk"
90,"Tea,Sugar,Coffee"
91,"Milk,Coffee,Cheese,Biscuits"
92,"Tea,Juice,Sugar"
93,"Butter,Bread"
94,"Sugar,Milk,Tea,Biscuits"
95,"Sugar,Eggs"
96,"Tea,Coffee"
97,"Cheese,Sugar,Bread,Eggs,Tea"
98,"Bread,Milk,Sugar,Biscuits"
99,"Juice,Sugar,Biscuits,Cheese,Eggs"
100,"Milk,Sugar"
101,"Cheese,Butter"
102,"Bread,Milk,Sugar,Juice,Butter"
103,"Juice,Sugar,Coffee,Bread"
104,"Sugar,Coffee,Bread,Biscuits,Tea"
105,"Butter,Bread,Eggs,Tea"
106,"Cheese,Sugar,Milk,Bread"
107,"Sugar,Bread,Tea"
108,"Milk,Tea,Biscuits,Eggs,Bread"
109,"Cheese,Biscuits,Tea"
110,"Sugar,Juice,Coffee,Tea"
111,"Sugar,Eggs,Coffee,Cheese,Juice"
112,"Biscuits,Eggs,Coffee"
113,"Juice,Bread,Butter,Coffee,Eggs"
114,"Butter,Eggs,Tea"
115,"Sugar,Milk,Butter,Tea,Coffee"
116,"Juice,Biscuits"
117,"Juice,Milk,Tea,Eggs"
118,"Cheese,Butter"
119,"Biscuits,Juice,Butter,Eggs"
120,"Juice,Butter,Biscuits,Sugar,Eggs"
121,"Butter,Coffee"
122,"Tea,Cheese,Butter"
123,"Cheese,Juice"
124,"Tea,Butter"
125,"Tea,Cheese,Eggs,Milk,Butter"
126,"Tea,Biscuits,Milk,Cheese"
127,"Bread,Butter"
128,"Juice,Milk,Eggs"
129,"Milk,Coffee,Butter,Biscuits"
130,"Tea,Juice,Bread"
131,"Butter,Sugar,Biscuits,Tea"
132,"Eggs,Milk"
133,"Juice,Tea,Eggs,Coffee"
134,"Butter,Milk,Juice,Coffee"
135,"Tea,Biscuits"
136,"Sugar,Biscuits"
137,"Coffee,Bread,Milk"
138,"Milk,Cheese"
139,"Cheese,Sugar,Juice,Butter,Bread"
140,"Milk,Biscuits,Cheese"
141,"Milk,Cheese"
142,"Sugar,Butter,Juice,Coffee"
143,"Coffee,Eggs,Cheese,Juice,Sugar"
144,"Cheese,Milk,Sugar,Bread,Coffee"
145,"Sugar,Milk,Coffee"
146,"Tea,Butter,Coffee,Sugar,Cheese"
147,"Milk,Eggs"
148,"Milk,Tea,Bread,Butter"
149,"Juice,Milk"
150,"Eggs,Butter,Tea"
151,"Sugar,Cheese,Tea,Coffee,Juice"
152,"Butter,Biscuits,Tea,Eggs"
153,"Bread,Cheese"
154,"Milk,Tea,Butter"
155,"Sugar,Tea,Biscuits,Butter,Milk"
156,"Milk,Butter"
157,"Cheese,Coffee,Juice"
158,"Sugar,Juice,Tea"
159,"Eggs,Butter"
160,"Tea,Butter"
161,"Coffee,Cheese,Bread,Eggs,Juice"
162,"Sugar,Butter"
163,"Butter,Sugar"
164,"Biscuits,Tea,Milk"
165,"Eggs,Butter,Milk,Juice"
166,"Cheese,Eggs,Milk"
167,"Butter,Juice,Coffee,Eggs,Tea"
168,"Sugar,Butter,Bread"
169,"Milk,Sugar"
170,"Sugar,Tea,Butter,Cheese"
171,"Sugar,Coffee,Milk,Cheese,Tea"
172,"Eggs,Coffee,Biscuits,Tea"
173,"Sugar,Bread,Tea"
